Date,Symbol,Order,Shares
2010-01-06,IBM,SELL,100
2010-01-15,IBM,BUY,100
2010-01-26,IBM,BUY,100
2010-02-05,IBM,SELL,100
2010-02-16,IBM,BUY,100
2010-02-26,IBM,SELL,100
2010-03-08,IBM,BUY,100
2010-03-18,IBM,SELL,100
2010-03-26,IBM,SELL,100
2010-04-07,IBM,BUY,100
2010-04-15,IBM,BUY,100
2010-04-23,IBM,SELL,100
2010-05-03,IBM,SELL,100
2010-05-17,IBM,BUY,100
2010-05-25,IBM,BUY,100
2010-06-10,IBM,SELL,100
2010-06-18,IBM,BUY,100
2010-06-29,IBM,SELL,100
2010-07-08,IBM,SELL,100
2010-07-16,IBM,BUY,100
2010-07-26,IBM,BUY,100
2010-08-09,IBM,SELL,100
2010-08-17,IBM,SELL,100
2010-08-25,IBM,BUY,100
2010-09-02,IBM,BUY,100
2010-09-14,IBM,SELL,100
2010-09-22,IBM,SELL,100
2010-09-30,IBM,BUY,100
2010-10-08,IBM,SELL,100
2010-10-21,IBM,BUY,100
2010-10-29,IBM,SELL,100
2010-11-08,IBM,BUY,100
2010-11-16,IBM,BUY,100
2010-11-24,IBM,SELL,100
2010-12-03,IBM,SELL,100
2010-12-13,IBM,BUY,100
2010-12-21,IBM,BUY,100
2010-12-31,IBM,SELL,100
2011-01-10,IBM,BUY,100
2011-01-19,IBM,SELL,100
2011-01-27,IBM,SELL,100
2011-02-07,IBM,BUY,100
2011-02-15,IBM,SELL,100
2011-02-24,IBM,BUY,100
2011-03-04,IBM,BUY,100
2011-03-15,IBM,SELL,100
2011-03-23,IBM,SELL,100
2011-04-01,IBM,BUY,100
2011-04-11,IBM,BUY,100
2011-04-19,IBM,SELL,100
2011-04-28,IBM,SELL,100
2011-05-06,IBM,BUY,100
2011-05-16,IBM,SELL,100
2011-05-27,IBM,BUY,100
2011-06-07,IBM,SELL,100
2011-06-17,IBM,BUY,100
2011-06-27,IBM,BUY,100
2011-07-07,IBM,SELL,100
2011-07-15,IBM,BUY,100
2011-07-25,IBM,SELL,100
2011-08-02,IBM,SELL,100
2011-08-10,IBM,BUY,100
2011-08-18,IBM,BUY,100
2011-09-02,IBM,SELL,100
2011-09-13,IBM,BUY,100
2011-09-22,IBM,SELL,100
2011-09-30,IBM,SELL,100
2011-10-19,IBM,BUY,100
2011-10-27,IBM,SELL,100
2011-11-04,IBM,BUY,100
2011-11-14,IBM,BUY,100
2011-11-28,IBM,SELL,100
2011-12-06,IBM,SELL,100
2011-12-14,IBM,BUY,100
2011-12-22,IBM,BUY,100
